entry_time,exit_time,signal,entry,sl,tp,result,profit,saldo,buy_probability,sell_probability
2026-05-19 23:03:00,2026-05-19 23:10:00,BUY,4482.14,4480.565714285714,4484.501428571429,WIN,696757.2893314136,16180252.607807273,0.7492687672021695,0.25073123279783033
2026-05-19 23:19:00,2026-05-19 23:23:00,BUY,4485.29,4484.015714285714,4487.201428571429,WIN,728111.3673513273,16908363.975158602,0.7515366298197299,0.24846337018027065
2026-05-19 23:29:00,2026-05-19 23:30:00,BUY,4486.16,4485.036428571429,4487.845357142857,LOSS,-507250.91925475805,16401113.055903845,0.7485197093087069,0.2514802906912938
2026-05-19 23:43:00,2026-05-19 23:46:00,BUY,4483.55,4482.66,4484.885,LOSS,-492033.39167711535,15909079.66422673,0.706303060633778,0.2936969393662224
2026-05-20 01:02:00,2026-05-20 01:07:00,BUY,4483.34,4481.867142857143,4485.549285714286,WIN,715908.5848902027,16624988.249116933,0.7386885561603717,0.2613114438396292
2026-05-20 01:14:00,2026-05-20 01:20:00,BUY,4482.82,4481.272857142857,4485.140714285714,LOSS,-498749.64747350797,16126238.601643424,0.7979366472567287,0.20206335274327164
2026-05-20 01:31:00,2026-05-20 01:33:00,BUY,4477.72,4476.590714285715,4479.413928571429,WIN,725680.7370739541,16851919.33871738,0.816968015878252,0.183031984121748
2026-05-20 01:43:00,2026-05-20 01:47:00,BUY,4483.09,4481.0028571428575,4486.220714285714,LOSS,-505557.5801615213,16346361.758555857,0.7484286710240742,0.2515713289759259
2026-05-20 01:59:00,2026-05-20 02:00:00,BUY,4484.37,4482.827857142857,4486.683214285714,LOSS,-490390.8527566757,15855970.905799182,0.6638405185083355,0.33615948149166447
2026-05-20 02:10:00,2026-05-20 02:19:00,BUY,4484.03,4482.299285714285,4486.626071428571,WIN,713518.6907609631,16569489.596560145,0.654889169253729,0.3451108307462703
2026-05-20 02:27:00,2026-05-20 02:32:00,BUY,4487.03,4485.517142857143,4489.299285714285,WIN,745627.0318452064,17315116.62840535,0.7226719039269879,0.27732809607301134
2026-05-20 02:41:00,2026-05-20 02:47:00,BUY,4495.28,4493.272142857143,4498.291785714286,LOSS,-519453.4988521605,16795663.12955319,0.5619050245415116,0.43809497545848786
2026-05-20 02:54:00,2026-05-20 02:59:00,BUY,4490.87,4488.817857142857,4493.948214285714,LOSS,-503869.89388659573,16291793.235666595,0.8128680102001075,0.18713198979989232
2026-05-20 03:04:00,2026-05-20 03:05:00,BUY,4486.07,4483.487142857142,4489.944285714286,LOSS,-488753.7970699978,15803039.438596597,0.8340823612809188,0.16591763871908138
2026-05-20 03:15:00,2026-05-20 03:16:00,BUY,4489.11,4484.977142857142,4495.309285714286,LOSS,-474091.1831578979,15328948.255438698,0.7723171420807847,0.22768285791921436
2026-05-20 03:25:00,2026-05-20 03:37:00,BUY,4496.39,4491.887857142858,4503.143214285715,WIN,689802.6714947413,16018750.92693344,0.6172531681858656,0.3827468318141343
2026-05-20 03:48:00,2026-05-20 03:51:00,BUY,4505.16,4502.114285714286,4509.728571428572,LOSS,-480562.5278080032,15538188.399125436,0.7182146263890704,0.281785373610929
2026-05-20 04:01:00,2026-05-20 04:02:00,BUY,4496.67,4493.9064285714285,4500.8153571428575,LOSS,-466145.6519737631,15072042.747151673,0.8308632884240573,0.1691367115759427
2026-05-20 04:16:00,2026-05-20 04:22:00,BUY,4495.5,4491.607142857143,4501.339285714285,LOSS,-452161.2824145502,14619881.464737123,0.810044978813087,0.18995502118691268
2026-05-20 04:26:00,2026-05-20 04:27:00,BUY,4480.47,4477.225714285714,4485.336428571429,LOSS,-438596.44394211366,14181285.02079501,0.7953400054603074,0.20465999453969252
2026-05-20 04:36:00,2026-05-20 04:43:00,BUY,4460.51,4455.412857142857,4468.155714285715,WIN,638157.8259357754,14819442.846730785,0.7158009833065179,0.28419901669348197
2026-05-20 04:49:00,2026-05-20 04:50:00,BUY,4472.36,4467.515714285714,4479.626428571429,WIN,666874.9281028853,15486317.77483367,0.6877312418363181,0.312268758163682
2026-05-20 05:12:00,2026-05-20 05:23:00,BUY,4478.33,4475.308571428572,4482.862142857142,WIN,696884.2998675151,16183202.074701184,0.8768274145321004,0.12317258546789915
2026-05-20 05:25:00,2026-05-20 05:30:00,BUY,4481.36,4478.467857142857,4485.698214285714,LOSS,-485496.0622410355,15697706.01246015,0.8173863348953038,0.18261366510469618
2026-05-20 05:40:00,2026-05-20 05:46:00,BUY,4470.02,4466.037857142857,4475.993214285715,LOSS,-470931.18037380447,15226774.832086345,0.7887830221369573,0.21121697786304228
2026-05-20 05:54:00,2026-05-20 05:56:00,BUY,4463.28,4460.19,4467.915,LOSS,-456803.24496259034,14769971.587123755,0.8326360243206086,0.16736397567939132
2026-05-20 06:06:00,2026-05-20 06:23:00,BUY,4456.25,4452.6,4461.725,WIN,664648.721420569,15434620.308544325,0.8443495526529573,0.15565044734704242
2026-05-20 06:28:00,2026-05-20 06:30:00,BUY,4461.29,4459.018571428572,4464.697142857142,LOSS,-463038.6092563297,14971581.699287996,0.8283475067163998,0.1716524932836004
2026-05-20 06:39:00,2026-05-20 06:48:00,BUY,4464.5,4461.845,4468.4825,LOSS,-449147.4509786398,14522434.248309355,0.7253513646652947,0.2746486353347048
2026-05-20 06:55:00,2026-05-20 06:59:00,BUY,4461.3,4459.651428571428,4463.772857142858,WIN,653509.541173921,15175943.789483275,0.7151185814764808,0.2848814185235192
2026-05-20 07:14:00,2026-05-20 07:19:00,BUY,4469.07,4467.167142857143,4471.924285714285,LOSS,-455278.31368449825,14720665.475798776,0.7531311758314339,0.24686882416856543
2026-05-20 07:24:00,2026-05-20 07:28:00,BUY,4466.78,4464.965714285714,4469.501428571429,LOSS,-441619.9642739633,14279045.511524813,0.7340827750416089,0.2659172249583913
2026-05-20 07:40:00,2026-05-20 07:41:00,BUY,4465.13,4463.372857142857,4467.765714285715,LOSS,-428371.36534574436,13850674.146179069,0.7023486188964039,0.2976513811035954
2026-05-20 07:52:00,2026-05-20 08:00:00,BUY,4461.05,4458.895714285714,4464.2814285714285,WIN,623280.3365780581,14473954.482757127,0.7243229506399121,0.2756770493600878
2026-05-20 08:10:00,2026-05-20 08:18:00,BUY,4467.31,4464.870714285715,4470.9689285714285,WIN,651327.9517240706,15125282.434481198,0.8097667885017743,0.19023321149822567
2026-05-20 08:20:00,2026-05-20 08:22:00,BUY,4472.59,4470.81,4475.26,WIN,680637.7095516539,15805920.144032853,0.6015872622905466,0.39841273770945257
2026-05-20 08:34:00,2026-05-20 08:42:00,BUY,4477.11,4474.282142857142,4481.351785714285,LOSS,-474177.60432098556,15331742.539711867,0.6112233776234762,0.38877662237652283
2026-05-20 08:44:00,2026-05-20 08:45:00,BUY,4472.23,4470.114285714285,4475.403571428571,LOSS,-459952.27619135595,14871790.26352051,0.8031999057417389,0.19680009425826067
2026-05-20 08:54:00,2026-05-20 09:00:00,BUY,4471.33,4468.607142857143,4475.414285714286,WIN,669230.561858423,15541020.825378934,0.6826831981093279,0.31731680189067185
2026-05-20 09:05:00,2026-05-20 09:12:00,BUY,4471.64,4468.8207142857145,4475.868928571429,LOSS,-466230.624761368,15074790.200617567,0.8301109088165589,0.1698890911834407
2026-05-20 09:20:00,2026-05-20 09:23:00,BUY,4474.99,4472.268571428571,4479.072142857143,LOSS,-452243.706018527,14622546.49459904,0.8107083291259948,0.18929167087400475
2026-05-20 09:30:00,2026-05-20 09:32:00,BUY,4470.23,4467.214999999999,4474.7525,LOSS,-438676.3948379712,14183870.099761069,0.8733702695549906,0.1266297304450093
2026-05-20 09:44:00,2026-05-20 09:49:00,BUY,4466.97,4464.277857142857,4471.0082142857145,WIN,638274.1544892481,14822144.254250318,0.7332018293491462,0.2667981706508537
2026-05-20 09:55:00,2026-05-20 10:01:00,BUY,4472.12,4469.401428571428,4476.197857142857,WIN,666996.4914412643,15489140.745691583,0.7930944707270364,0.2069055292729636
2026-05-20 10:08:00,2026-05-20 10:12:00,BUY,4478.56,4476.2642857142855,4482.003571428572,WIN,697011.3335561212,16186152.079247704,0.6438075744040608,0.3561924255959395
2026-05-20 10:23:00,2026-05-20 10:25:00,BUY,4477.33,4474.926428571428,4480.935357142857,WIN,728376.8435661467,16914528.92281385,0.8112492459384468,0.18875075406155273
2026-05-20 10:36:00,2026-05-20 10:38:00,BUY,4476.59,4474.269285714286,4480.0710714285715,WIN,761153.8015266233,17675682.724340476,0.847371010106876,0.15262898989312362
2026-05-20 10:47:00,2026-05-20 10:52:00,BUY,4478.94,4476.627142857143,4482.409285714285,LOSS,-530270.4817302143,17145412.24261026,0.8288612399602617,0.1711387600397382
2026-05-20 11:03:00,2026-05-20 11:06:00,BUY,4479.8,4477.931428571429,4482.602857142858,WIN,771543.5509174617,17916955.793527722,0.6996183469782952,0.30038165302170466
2026-05-20 11:14:00,2026-05-20 11:16:00,BUY,4482.34,4479.877142857143,4486.034285714286,LOSS,-537508.6738058317,17379447.11972189,0.7292632084335112,0.27073679156648844
2026-05-20 11:27:00,2026-05-20 11:30:00,BUY,4484.01,4481.646428571428,4487.555357142857,WIN,782075.120387485,18161522.240109373,0.7605386721994354,0.2394613278005637
2026-05-20 11:40:00,2026-05-20 11:42:00,BUY,4481.43,4478.912142857143,4485.206785714286,LOSS,-544845.6672032812,17616676.57290609,0.7937575954970558,0.20624240450294432
2026-05-20 11:51:00,2026-05-20 11:54:00,BUY,4485.33,4482.809285714286,4489.111071428571,WIN,792750.4457807741,18409427.018686865,0.6650700856859658,0.334929914314034
2026-05-20 12:03:00,2026-05-20 12:06:00,BUY,4485.03,4482.905714285714,4488.216428571428,LOSS,-552282.810560606,17857144.208126258,0.8076320557548202,0.19236794424517933
2026-05-20 12:15:00,2026-05-20 12:20:00,BUY,4480.32,4478.693571428571,4482.759642857142,WIN,803571.4893656817,18660715.69749194,0.7790372752013068,0.2209627247986928
2026-05-20 12:26:00,2026-05-20 12:27:00,BUY,4478.39,4476.762142857144,4480.831785714286,LOSS,-559821.4709247582,18100894.226567183,0.7999390316385652,0.2000609683614346
2026-05-20 12:49:00,2026-05-20 12:53:00,BUY,4483.05,4481.662857142857,4485.130714285714,WIN,814540.2401955232,18915434.466762707,0.7287231264157792,0.2712768735842203
2026-05-20 13:02:00,2026-05-20 13:07:00,BUY,4486.78,4484.911428571429,4489.5828571428565,WIN,851194.5510043218,19766629.017767027,0.7845071816842433,0.2154928183157557
2026-05-20 13:14:00,2026-05-20 13:21:00,BUY,4487.96,4486.225,4490.5625,WIN,889498.3057995162,20656127.323566545,0.7807481992152703,0.2192518007847298
2026-05-20 13:25:00,2026-05-20 13:29:00,BUY,4491.81,4490.365000000001,4493.9775,LOSS,-619683.8197069963,20036443.50385955,0.6603566786633955,0.3396433213366034
2026-05-20 13:35:00,2026-05-20 13:44:00,BUY,4495.87,4494.288571428571,4498.242142857142,LOSS,-601093.3051157865,19435350.198743764,0.5904796621420375,0.4095203378579621
2026-05-20 13:50:00,2026-05-20 13:53:00,BUY,4490.81,4489.047142857144,4493.454285714286,WIN,874590.7589434694,20309940.957687233,0.8280178327718691,0.17198216722813012
2026-05-20 14:13:00,2026-05-20 14:14:00,BUY,4495.11,4493.634285714285,4497.323571428571,LOSS,-609298.228730617,19700642.728956617,0.725939020617526,0.27406097938247376
2026-05-20 14:24:00,2026-05-20 14:28:00,BUY,4495.72,4493.9800000000005,4498.330000000001,WIN,886528.9228030478,20587171.651759665,0.6808972872598825,0.31910271274011753
2026-05-20 14:40:00,2026-05-20 14:44:00,BUY,4498.21,4496.694285714286,4500.483571428572,LOSS,-617615.14955279,19969556.502206877,0.7297396749808488,0.27026032501915087
2026-05-20 14:57:00,2026-05-20 15:02:00,BUY,4497.35,4495.2978571428575,4500.428214285715,WIN,898630.0425993095,20868186.544806186,0.7443147518274472,0.25568524817255267
2026-05-20 15:10:00,2026-05-20 15:16:00,BUY,4497.17,4495.395,4499.8325,LOSS,-626045.5963441855,20242140.948462002,0.7787128138493788,0.22128718615062093
2026-05-20 15:20:00,2026-05-20 15:24:00,BUY,4494.41,4492.908571428571,4496.6621428571425,WIN,910896.34268079,21153037.29114279,0.770774233298574,0.22922576670142564
2026-05-20 15:31:00,2026-05-20 15:43:00,BUY,4500.98,4498.926428571428,4504.060357142856,WIN,951886.6781014255,22104923.969244216,0.6832298446192958,0.31677015538070424
2026-05-20 15:51:00,2026-05-20 15:52:00,BUY,4502.45,4500.698571428571,4505.0771428571425,LOSS,-663147.7190773265,21441776.25016689,0.7006180076383419,0.29938199236165774
2026-05-20 16:07:00,2026-05-20 16:11:00,BUY,4497.06,4494.051428571429,4501.572857142857,WIN,964879.93125751,22406656.181424398,0.8355489443200873,0.16445105567991267
2026-05-20 16:19:00,2026-05-20 16:22:00,BUY,4499.2,4496.427142857143,4503.359285714286,LOSS,-672199.685442732,21734456.495981667,0.8244791897913002,0.17552081020869992
2026-05-20 16:29:00,2026-05-20 16:31:00,BUY,4489.32,4486.933571428571,4492.899642857143,WIN,978050.5423191751,22712507.038300842,0.8216759424676313,0.1783240575323689
2026-05-20 16:42:00,2026-05-20 16:44:00,BUY,4484.57,4481.460714285714,4489.233928571428,WIN,1022062.8167235379,23734569.85502438,0.8304551788211925,0.1695448211788074
